회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 진영, 그룹
으랏차차농부, 1, 22, 64716905, 1312310, 2504, 0, 273456479, 3357642, 50944, 534578, 33460, 사예, 영농조합
RZ간웅님, 3, 45, 83797790, 1358190, 13771, 0, 305114012, 3049639, 85541, 259987, 38300, 서촉, 하마
태리농부, 2, 41, 66280456, 1040189, 451, 0, 280262750, 3043731, 33635, 413180, 34480, 사예, 영농조합
칼끝, 4, 54, 53230014, 854858, 105, 0, 259837435, 2808285, 50785, 137611, 36190, 사예, 무한
無限뮤라, 5, 60, 72816517, 1147467, 303, 106382, 249939835, 2679817, 47236, 481847, 41220, 사예, 무한
無限조운, 6, 72, 52534497, 1018006, 1305, 0, 240594851, 2564449, 7373, 319128, 35170, 사예, 무한
SP하노이, 7, 75, 60139729, 1059237, 1001, 0, 234750054, 2475414, 32256, 511418, 29930, 사예, 전룡제후
众화극, 10, 84, 53651426, 1101985, 500, 0, 257197501, 2418886, 40556, 363179, 39830, 사예, 주점
巛삐카츄, 8, 79, 58760557, 982382, 251, 0, 209679129, 2410347, 31357, 86308, 30490, 사예, 질주
酒현덕, 9, 83, 60277731, 1034214, 4497, 0, 240611179, 2401723, 51016, 53798, 40620, 사예, 주점
巛신유나, 13, 97, 64664909, 913950, 816, 0, 235903641, 2322556, 26036, 332420, 39640, 사예, 질주
巛한라, 11, 90, 45820944, 871210, 1374, 0, 201919900, 2301177, 43478, 500240, 31280, 사예, 질주
통도사, 12, 95, 48067635, 897115, 739, 0, 212994102, 2292601, 23821, 493921, 37896, 사예, 주점
羊수학, 14, 98, 40920237, 636882, 0, 0, 214411616, 2254930, 49918, 701443, 34240, 사예, 영농조합
SP용랑, 15, 103, 55020873, 878440, 504, 0, 191460011, 2203235, 49741, 297918, 35010, 사예, 전룡제후
無限대구장, 19, 145, 57278731, 1059528, 1766, 0, 212132157, 2195734, 46744, 571582, 32710, 사예, 무한
巛冰탕후루, 16, 111, 53781055, 759175, 1105, 0, 216321133, 2172058, 44096, 4184, 35473, 사예, 질주
酒맹덕, 17, 117, 53914050, 965387, 5096, 0, 211237196, 2150593, 51803, 125054, 37050, 사예, 주점
우마왕, 18, 121, 70301728, 883225, 26571, 0, 230071403, 2096542, 105435, 446805, 25300, 서촉, 하마
여호수야, 20, 156, 54570555, 763227, 795, 0, 221418893, 2036035, 17934, 921590, 32960, 사예, 전룡제후
RZ찬블리, 24, 178, 62016219, 1093036, 2972, 259284, 220921417, 2009129, 30574, 836057, 34560, 서촉, 하마
민책, 23, 175, 54362154, 810262, 7156, 0, 203724969, 1968719, 45884, 3685, 37570, 서촉, 하마
대선싫어, 22, 158, 65855602, 900111, 0, 104317, 186794466, 1956253, 92607, 585056, 35410, 사예, 그룹 없음
킹아야ㆍ, 21, 157, 38550452, 590857, 50, 0, 166979861, 1938526, 62225, 489040, 25530, 사예, 그룹 없음
오전이는농부, 25, 183, 62569047, 926533, 3191, 0, 198230149, 1920910, 32754, 305351, 33120, 사예, 영농조합
RZ디에스, 26, 196, 74832084, 997853, 11594, 0, 272585487, 1915435, 54151, 362978, 38740, 서촉, 하마
SP연어, 27, 198, 47438429, 682899, 801, 0, 197871278, 1826436, 62188, 438401, 32680, 사예, 전룡제후
無限알파, 29, 203, 54045100, 742796, 816, 0, 199241642, 1811142, 29133, 541981, 33560, 사예, 무한
無限알터, 30, 211, 32541176, 668917, 500, 204930, 183627755, 1778090, 51515, 1189809, 27490, 사예, 무한
