회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 주, 그룹
SP연어, 196, , 5820666, 0, 350, 0, 5820666, 0, 350, 0, 11650, 강동, 그룹 없음
新앱솔루트, 86, 601, 2462640, 0, 6168, 0, 7916847, 0, 6518, 48578, 11340, 강동, 신의악단
別들의친족, 13, 186, 4555446, 0, 6886, 0, 10266170, 0, 7236, 0, 14593, 강동, 인연別
無限대구장, 29, 311, 2771970, 177, 7190, 0, 7877811, 177, 7540, 20467, 11940, 강동, 그룹 없음
혀누임, 2, 86, 5143429, 2787, 7908, 0, 10507970, 2787, 8258, 21000, 14150, 강동, 그룹 없음
영오농부, 3, 87, 5740680, 0, 8162, 0, 12961323, 0, 8162, 20026, 14270, 강동, 그룹 없음
緣진하, 40, 388, 5063799, 0, 6110, 0, 9083039, 0, 6110, 20880, 13740, 강동, 인연別
SP포고라니, 45, 416, 4664421, 0, 6499, 0, 9995010, 0, 6849, 0, 14280, 강하, 그룹 없음
으랏차차농부, 14, 188, 4528731, 25, 6023, 0, 10024430, 25, 6373, 20238, 14150, 강동, 그룹 없음
無限성난냥이, 16, 223, 4487853, 0, 7413, 0, 9874689, 0, 7763, 15868, 14270, 강하, 그룹 없음
無限회장, 131, 841, 2319414, 0, 2801, 0, 5060454, 0, 3151, 0, 9900, 강동, 그룹 없음
SP수달, 68, 510, 1358160, 948, 6449, 0, 3512786, 948, 6799, 37738, 8800, 강동, 그룹 없음
锋고, 134, 859, 9441121, 461, 3974, 0, 16507847, 461, 3974, 0, 15040, 강하, 그룹 없음
緣킁, 115, 743, 8566956, 0, 5394, 0, 13500607, 0, 5394, 0, 16570, 강하, 인연別
新캡틴Q, 51, 426, 8016537, 0, 8694, 0, 15217533, 0, 8694, 0, 13900, 강하, 신의악단
제망량, 108, 720, 7796880, 50, 4319, 0, 13521120, 50, 4319, 20026, 14290, 강동, 인연別
锋피셜, 84, 586, 7500322, 0, 6558, 0, 12809892, 0, 6908, 21067, 14180, 강하, 그룹 없음
新참이슬, 197, , 7474798, 0, 0, 0, 7474798, 0, 0, 0, 7100, 강동, 신의악단
緣부끄런꼬기, 54, 432, 7474410, 2620, 5577, 0, 15689892, 2620, 5577, 2081, 14750, 강동, 인연別
別모략가, 69, 518, 7453404, 3, 6984, 0, 13883682, 3, 7334, 20771, 13970, 강동, 인연別
無限동백, 46, 417, 7185276, 0, 6380, 0, 14402274, 0, 6380, 19290, 16910, 강동, 그룹 없음
新마오타이, 15, 198, 7183050, 0, 7691, 0, 15253879, 0, 8041, 0, 16670, 강동, 신의악단
新진로, 74, 526, 7032432, 0, 7734, 0, 11761192, 0, 7734, 20732, 13550, 강동, 신의악단
킹핀느ㆍ, 10, 147, 7032285, 344, 7756, 0, 14769233, 344, 7756, 0, 16920, 강하, 그룹 없음
無限워니쭈니, 23, 272, 7000455, 0, 8059, 0, 12171137, 0, 8059, 0, 12850, 강동, 그룹 없음
뇽뇽농부, 162, 995, 6988185, 0, 2513, 0, 10640162, 0, 2513, 0, 12280, 강동, 그룹 없음
꾸러기온리, 126, 812, 6925257, 0, 3977, 0, 12925515, 0, 4327, 15652, 13500, 강하, 인연別
緣차슨생, 9, 141, 6847527, 0, 7220, 0, 13902688, 0, 7220, 12393, 13790, 강동, 인연別
無限뮤라, 96, 656, 6823139, 0, 4231, 0, 13058641, 0, 4581, 14344, 15380, 강동, 그룹 없음
