회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 주, 그룹
SP연어, 197, 1201, 9043992, 0, 1358, 0, 9043992, 0, 1358, 0, 12500, 강동, 그룹 없음
新앱솔루트, 117, 678, 4899117, 0, 9569, 0, 10353324, 0, 9919, 48578, 13003, 강하, 신의악단
無限대구장, 23, 163, 10296714, 177, 13939, 0, 15402555, 177, 14289, 20467, 14550, 강하, 그룹 없음
別들의친족, 26, 154, 7619124, 0, 11087, 0, 13329848, 0, 11437, 0, 15803, 강동, 인연別
혀누임, 8, 80, 11476540, 2787, 14792, 0, 16841081, 2787, 15142, 21000, 17820, 강하, 그룹 없음
緣차슨생, 11, 87, 16212267, 0, 13187, 0, 23267428, 0, 13187, 12393, 17920, 강하, 인연別
으랏차차농부, 16, 106, 12434411, 25, 11546, 0, 17930110, 25, 11896, 20238, 17500, 강하, 그룹 없음
锋두르, 133, 762, 12061886, 0, 6134, 0, 17533792, 0, 6134, 10862, 17260, 강하, 그룹 없음
SPㆍ킹, 138, 779, 10760661, 0, 8333, 0, 14306176, 0, 8333, 0, 15420, 강하, 그룹 없음
緣진하, 96, 554, 10710540, 0, 8682, 0, 14729780, 0, 8682, 20880, 17540, 강하, 인연別
SP포고라니, 68, 378, 10617294, 0, 10531, 0, 15947883, 0, 10881, 0, 17300, 강하, 그룹 없음
锋이야, 43, 240, 10011718, 0, 11190, 19987, 14757103, 0, 11190, 19987, 15140, 강하, 그룹 없음
無限성난냥이, 27, 166, 9773304, 0, 15060, 0, 15160140, 0, 15410, 15868, 16250, 강하, 그룹 없음
영오농부, 2, 53, 8664108, 0, 15697, 0, 15884751, 0, 15697, 20026, 16830, 강하, 그룹 없음
锋빠, 173, 1008, 4763598, 0, 4490, 0, 6753018, 0, 4490, 0, 11693, 강하, 그룹 없음
無限회장, 167, 935, 4324361, 0, 4229, 0, 7065401, 0, 4579, 0, 12020, 강하, 그룹 없음
SP수달, 101, 584, 3548739, 948, 8717, 0, 5703365, 948, 9067, 37738, 11053, 강동, 그룹 없음
꾸러기온리, 118, 686, 22421510, 0, 7137, 0, 28421768, 0, 7487, 15652, 17150, 강하, 인연別
緣킁, 108, 624, 20084937, 0, 10188, 0, 25018588, 0, 10188, 0, 18650, 강하, 인연別
緣부끄런꼬기, 77, 450, 18699050, 2620, 10713, 0, 26914532, 2620, 10713, 2081, 18680, 강하, 인연別
緣주, 196, 1197, 18663755, 36, 1015, 0, 27178248, 36, 1015, 0, 19590, 강하, 인연別
태리농부, 132, 753, 17445888, 0, 9026, 0, 22538262, 0, 9376, 20799, 19150, 강하, 그룹 없음
칼끝, 32, 215, 16847768, 0, 12375, 0, 24126162, 0, 12375, 0, 20050, 강하, 그룹 없음
新화요, 1, 46, 16738409, 0, 13405, 0, 23187894, 0, 13755, 16000, 18700, 강하, 신의악단
锋투, 58, 337, 16403697, 16, 8708, 0, 24256541, 16, 8708, 20169, 19840, 강하, 그룹 없음
無限동백, 69, 400, 16267674, 0, 9563, 0, 23484672, 0, 9563, 19290, 19480, 강하, 그룹 없음
緣동자, 171, 999, 16223877, 0, 4448, 0, 20781210, 0, 4448, 0, 18053, 강하, 인연別
킹핀느ㆍ, 12, 94, 16038932, 344, 14187, 0, 23775880, 344, 14187, 0, 19870, 강하, 그룹 없음
여호수야, 185, 1105, 15700336, 0, 2625, 0, 21883263, 0, 2625, 29668, 19873, 강하, 그룹 없음
緣엔프제, 85, 495, 15092179, 0, 9783, 0, 20150890, 0, 9783, 21422, 16890, 강하, 인연別
킹아아ㆍ, 6, 62, 14557173, 0, 11426, 0, 20606214, 0, 11426, 0, 17870, 강하, 그룹 없음
