회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 진영, 그룹
巛룡, 148, 820, 1701135, 33706, 0, 302103, 74683420, 358599, 40877, 1208013, 22923, 사예, 질주
SP왕부하, 162, 895, 1218186, 24459, 0, 0, 88816061, 309059, 28498, 781508, 26830, 사예, 전룡제후
巛우드, 178, 976, 1131349, 22737, 350, 0, 69174883, 237025, 36552, 467223, 22380, 사예, 질주
SP응삼이, 153, 865, 760089, 15371, 0, 0, 87687617, 337247, 22464, 1126369, 26400, 사예, 전룡제후
無限거지왕초, 190, 1132, 557907, 10749, 521, 0, 46078348, 112236, 14908, 1035045, 18930, 서촉, 무한
無限마쉬, 195, 1222, 523188, 8769, 0, 3628982, 23953404, 9277, 25529, 27080175, 15210, 서촉, 무한
휴식라니, 172, 949, 494822, 9781, 0, 0, 41425424, 269014, 20347, 11666032, 10650, 사예, 그룹 없음
無限회남자, 196, 1223, 216078, 3697, 0, 3123675, 22430678, 8604, 21382, 23341396, 14150, 서촉, 무한
狂견, 192, 1191, 190792, 0, 0, 17830488, 42425038, 49737, 29859, 65954681, 18380, 파군, 질주
巛순신, 198, 1269, 0, 0, 0, 0, 3780425, 0, 4032, 0, 8760, 파군, 질주
귤, 173, 950, 0, 0, 0, 0, 127864521, 236161, 41227, 0, 34900, 서촉, 영농조합
킹느ㆍ, 200, , 0, 0, 0, 0, 910828, 0, 0, 0, 1976, 파군, 그룹 없음
