회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 진영, 그룹
SP연어, 23, 166, 15602157, 169069, 0, 0, 166035006, 1312606, 61387, 438401, 32380, 사예, 전룡제후
無限대구장, 26, 179, 15073761, 216920, 600, 0, 169927187, 1353126, 45578, 571582, 31190, 사예, 무한
SPㆍ킹, 35, 234, 11448904, 114154, 0, 0, 144551033, 1171029, 19712, 253051, 31100, 사예, 전룡제후
無限회장, 162, 901, 3077927, 54861, 0, 0, 95282196, 287680, 45556, 538913, 28540, 사예, 무한
혀누임, 72, 435, 10677894, 74950, 0, 0, 127905109, 699980, 55848, 443221, 32880, 사예, 전룡제후
巛국태, 132, 736, 21916997, 96823, 350, 0, 109809095, 479107, 12009, 200396, 30550, 사예, 질주
SP포고라니, 45, 279, 17068854, 175063, 3810, 342416, 121095034, 1006664, 43471, 1157268, 30130, 사예, 전룡제후
으랏차차농부, 1, 16, 17035803, 357763, 0, 0, 225775377, 2403095, 48440, 534578, 33740, 사예, 영농조합
RZ작은하마, 47, 307, 16673756, 162732, 5148, 0, 158771370, 997612, 25938, 0, 23425, 서촉, 하마
영오농부, 32, 223, 15415882, 168597, 3985, 0, 179848863, 1113668, 82589, 247416, 31239, 사예, 영농조합
SP수달, 161, 900, 13028590, 38952, 0, 0, 69901724, 317948, 39617, 269847, 18650, 사예, 전룡제후
巛커피오랑, 89, 504, 6471178, 73222, 187, 0, 120218636, 662921, 57337, 608419, 26480, 사예, 질주
酒고주, 63, 392, 5582206, 111475, 0, 0, 109390280, 785641, 42424, 953627, 30260, 사예, 주점
巛지민, 147, 812, 25930091, 51753, 250, 0, 136357342, 378540, 39000, 1075380, 35183, 사예, 질주
巛소고기, 78, 452, 25823335, 99507, 250, 129549, 158384237, 694023, 46068, 1282844, 32860, 사예, 질주
우마왕, 18, 106, 23686386, 273361, 14225, 0, 183456061, 1486678, 93089, 446805, 26121, 서촉, 하마
오전이는농부, 25, 174, 21906279, 316654, 472, 0, 157567381, 1311031, 30035, 305351, 31270, 사예, 영농조합
無限뮤라, 5, 69, 21712639, 201761, 0, 106382, 198835957, 1734111, 46933, 481847, 38240, 사예, 무한
巛태제, 85, 482, 21489113, 146010, 0, 0, 158470348, 755639, 10565, 757184, 40070, 사예, 질주
巛조이, 27, 186, 20263571, 198000, 350, 0, 161957606, 1219668, 59999, 771863, 34300, 사예, 질주
RZ간웅님, 4, 46, 19440575, 324890, 8650, 0, 240756797, 2016339, 80420, 259987, 33840, 서촉, 하마
众헤리티지, 53, 335, 19193515, 149854, 0, 0, 142644101, 901732, 46614, 476178, 29450, 사예, 주점
巛수릉, 64, 395, 18673468, 95498, 460, 0, 137135257, 791451, 62692, 843186, 29560, 사예, 질주
SP세경, 114, 645, 18464493, 59953, 0, 401855, 146635261, 546206, 49569, 1742293, 36310, 사예, 그룹 없음
巛나간다, 55, 346, 17956302, 108588, 0, 0, 175300251, 880698, 39519, 363205, 39530, 사예, 질주
巛청담베이비, 67, 420, 17932282, 111688, 0, 0, 152080726, 689596, 97485, 572452, 32903, 사예, 질주
