회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 주, 그룹
SP연어, 122, 691, 31247964, 165350, 18628, 633699, 84450414, 223603, 35973, 782020, 21083, 사예, 그룹 없음
新앱솔루트, 143, 779, 14528125, 132413, 15818, 0, 57002707, 176413, 38885, 48578, 23959, 사예, 신의악단
別들의친족, 8, 123, 42004455, 609434, 15106, 210621, 116302726, 858762, 37996, 346671, 27958, 사예, 인연別
無限대구장, 33, 317, 40837467, 435615, 15748, 0, 120208481, 595197, 50995, 283843, 27836, 사예, 그룹 없음
혀누임, 66, 481, 21690803, 232265, 11500, 499734, 79175471, 363376, 42667, 861869, 28766, 양양, 그룹 없음
으랏차차농부, 6, 75, 40954870, 711081, 16178, 0, 133243886, 984946, 43779, 446198, 29570, 사예, 그룹 없음
영오농부, 22, 262, 35316091, 401109, 27103, 0, 111806135, 551566, 66441, 220370, 30990, 사예, 그룹 없음
SPㆍ킹, 62, 465, 33864499, 310174, 3912, 1534524, 87123435, 444626, 22167, 1534524, 23120, 사예, 그룹 없음
锋이야, 24, 283, 33361341, 404420, 17356, 322068, 93237518, 565997, 45808, 427077, 28520, 사예, 칼팸
緣차슨생, 37, 341, 31955294, 386495, 10500, 346635, 102857799, 495999, 43182, 610394, 28740, 사예, 인연別
锋두르, 71, 499, 29557780, 191576, 1914, 0, 96376373, 406880, 18476, 264129, 29563, 사예, 칼팸
緣진하, 55, 443, 29422997, 338046, 4689, 0, 104315829, 435801, 18684, 381540, 28813, 사예, 인연別
锋빠, 57, 454, 27315864, 328329, 1125, 0, 75403755, 457706, 14006, 0, 23310, 사예, 칼팸
SP수달, 154, 842, 22933236, 142172, 5617, 0, 67527494, 186886, 24180, 617624, 18493, 양양, 그룹 없음
無限회장, 181, 1034, 21642710, 85537, 2030, 589783, 65369922, 101603, 11540, 879679, 20120, 사예, 그룹 없음
SP포고라니, 98, 596, 21162637, 232147, 7655, 124297, 85661310, 322399, 30632, 425014, 25883, 양양, 그룹 없음
無限성난냥이, 91, 574, 15260315, 233425, 8768, 279538, 67561219, 321262, 43042, 859305, 23570, 양양, 그룹 없음
緣부끄런꼬기, 4, 49, 70498559, 891229, 4712, 85843, 179067177, 1150960, 32709, 197550, 29860, 사예, 인연別
緣주, 17, 222, 65073626, 496707, 700, 0, 161873785, 726096, 4079, 0, 37690, 사예, 인연別
SP전설방패, 192, 1124, 63986606, 63190, 3205, 200161, 113236432, 72074, 6334, 380985, 27420, 사예, 그룹 없음
新시현, 41, 373, 60735954, 360481, 8287, 0, 132848810, 495042, 43792, 199640, 27970, 사예, 신의악단
킹아아ㆍ, 2, 37, 58181911, 883180, 12267, 32890, 159021571, 1205400, 39846, 134000, 30320, 사예, 그룹 없음
緣엔프제, 103, 611, 57314541, 165270, 3893, 582432, 137789105, 294548, 25467, 716892, 31640, 사예, 인연別
