회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 주, 그룹
锋고, 88, 587, 2383761, 0, 0, 0, 62770463, 100828, 16327, 0, 21633, 양양, 그룹 없음
내레이버섯커, 138, 811, 2323332, 16431, 0, 0, 52511932, 63947, 17808, 320043, 20250, 양양, 그룹 없음
당돌한농부, 163, 888, 2309931, 7775, 700, 0, 44294883, 50466, 10111, 0, 21020, 양양, 그룹 없음
無限koko, 183, 1011, 2296425, 0, 0, 0, 36926156, 16815, 19329, 315050, 19990, 강하, 그룹 없음
킹휘ㆍ, 111, 682, 2210298, 4408, 0, 0, 54332135, 66415, 21945, 271417, 21660, 양양, 그룹 없음
緣크으응킁, 59, 466, 2171955, 23518, 0, 0, 59094027, 152810, 21339, 148898, 23870, 양양, 인연別
無限유선, 139, 787, 2157459, 5806, 0, 0, 40453870, 74654, 9368, 388930, 22720, 양양, 그룹 없음
칼가자미, 38, 388, 2106953, 42153, 350, 0, 64264299, 171135, 21684, 527911, 23890, 양양, 그룹 없음
锋시부, 132, 747, 2043123, 3435, 0, 0, 33340602, 65347, 22207, 356933, 19070, 양양, 그룹 없음
緣우룡, 32, 358, 2033754, 6461, 0, 0, 59250465, 168202, 29246, 320527, 24480, 양양, 인연別
無限오리꽥꽥, 160, 874, 2003859, 937, 0, 0, 55074287, 43901, 18129, 155415, 18710, 양양, 그룹 없음
친절한시내, 96, 626, 2003115, 0, 0, 0, 47670325, 81072, 24890, 451273, 22370, 양양, 인연別
SP왕부하, 120, 713, 1981320, 0, 0, 0, 54964540, 70594, 23253, 587978, 21950, 양양, 그룹 없음
锋지, 142, 803, 1936965, 4188, 0, 0, 61868329, 45402, 25721, 437091, 22703, 양양, 그룹 없음
緣동네, 99, 636, 1889682, 0, 0, 0, 74364193, 78650, 23974, 400071, 25610, 양양, 인연別
SP깐도리, 55, 457, 1861716, 21392, 0, 0, 52022569, 166581, 7267, 124382, 18440, 양양, 그룹 없음
緣心엘리시움, 33, 365, 1807242, 10496, 0, 0, 70047899, 184787, 17106, 203581, 26730, 양양, 인연別
別조커, 18, 264, 1802232, 0, 0, 0, 79543525, 197954, 32693, 333225, 26870, 양양, 인연別
別자몽, 10, 195, 1734885, 11289, 0, 0, 83205376, 231688, 31266, 63380, 23570, 양양, 인연別
锋은사, 147, 820, 1699788, 1663, 350, 0, 53994771, 52400, 22430, 140910, 21180, 양양, 그룹 없음
一갓스무디, 135, 777, 1699317, 0, 0, 0, 44390704, 67577, 16050, 198725, 18510, 양양, 그룹 없음
锋해장, 188, 1074, 1639542, 0, 0, 0, 46143905, 19241, 7821, 154187, 22440, 양양, 그룹 없음
新마오타이, 23, 305, 1636515, 8581, 0, 0, 57221137, 167641, 33399, 336947, 23720, 양양, 신의악단
無限성난태균, 131, 745, 1621728, 0, 0, 0, 60858504, 60635, 26595, 320904, 22600, 양양, 그룹 없음
無限동백, 27, 334, 1604139, 7191, 0, 0, 68792298, 181067, 25248, 656381, 26070, 양양, 그룹 없음
無限워니쭈니, 73, 539, 1584090, 579, 100, 0, 69578947, 103499, 29802, 156410, 22933, 양양, 그룹 없음
锋급, 45, 405, 1568385, 18573, 0, 0, 67001676, 156846, 22177, 245440, 25140, 양양, 그룹 없음
侯짱뚱어, 90, 597, 1534686, 13732, 0, 178665, 37031827, 100226, 21497, 505599, 22580, 양양, 그룹 없음
칼끝, 1, 23, 1523244, 31987, 0, 0, 115512854, 458987, 26413, 394168, 29360, 양양, 그룹 없음
김크니, 35, 369, 1513818, 4335, 0, 0, 69164423, 152714, 24867, 653591, 21940, 양양, 신의악단
無限알터, 134, 750, 1510074, 0, 0, 0, 31487609, 63948, 20579, 124024, 17220, 양양, 그룹 없음
SP스랄, 91, 603, 1493469, 5141, 0, 0, 49928830, 113864, 21589, 149427, 18690, 양양, 그룹 없음
新블랑, 78, 556, 1481154, 23021, 200, 0, 54317039, 101861, 25908, 342550, 22650, 양양, 신의악단
緣pop, 48, 416, 1480539, 3918, 0, 0, 69801606, 142774, 23043, 12928, 26200, 양양, 인연別
緣엔프제, 50, 422, 1442649, 11040, 0, 0, 81917213, 140318, 21574, 134460, 27300, 양양, 인연別
锋파인, 106, 653, 1356792, 9486, 0, 0, 49163687, 68374, 37807, 160881, 21770, 양양, 그룹 없음
緣탑간z, 9, 186, 1343322, 13346, 0, 0, 86182956, 247396, 30852, 222276, 28820, 양양, 인연別
緣미니, 24, 329, 1311702, 6254, 35, 0, 80036297, 178779, 20449, 60208, 24550, 양양, 인연別
