회원, 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 진영, 그룹
SP연어, 29, 13482470, 92905, 6764, 300015, 78302936, 237860, 49132, 438401, 27443, 서촉, 그룹 없음
無限대구장, 28, 11306093, 129854, 5308, 0, 75336958, 275890, 36960, 152413, 28150, 서촉, 무한
SPㆍ킹, 27, 14657525, 128399, 0, 0, 80247086, 307733, 14388, 253051, 28740, 서촉, 그룹 없음
無限회장, 167, 11395992, 18779, 5589, 0, 46376355, 35593, 36305, 0, 23456, 서촉, 무한
혀누임, 68, 15175786, 46928, 4964, 0, 61818059, 119949, 36221, 134559, 27582, 서촉, 그룹 없음
으랏차차농부, 2, 17006263, 241694, 5043, 115451, 118441152, 562732, 32272, 263383, 30253, 서촉, 영농조합
RZ작은하마, 141, 11538119, 82739, 1001, 0, 72923005, 101277, 8657, 0, 19330, 서촉, 하마
酒고주, 92, 10396110, 62464, 1008, 124279, 50092159, 123862, 28807, 328791, 26570, 서촉, 그룹 없음
영오농부, 39, 8934619, 91944, 9369, 121338, 77466916, 204631, 54198, 247416, 29343, 서촉, 영농조합
巛커피오랑, 54, 8058468, 57778, 6117, 156402, 53736251, 171219, 41365, 284575, 24820, 서촉, 그룹 없음
SP수달, 157, 2110695, 18088, 2551, 0, 24751067, 62276, 25005, 269847, 16019, 서촉, 그룹 없음
태리농부, 1, 31207030, 295500, 2305, 251266, 121746483, 677863, 24792, 413180, 29453, 서촉, 영농조합
無限대박, 127, 26032363, 35346, 714, 580933, 100250998, 109308, 11927, 1013875, 30600, 서촉, 무한
귤, 94, 24722861, 41902, 996, 0, 112611650, 120915, 32300, 0, 31820, 서촉, 영농조합
탱구, 174, 22175262, 13973, 550, 243599, 70639324, 45909, 10299, 355009, 23330, 서촉, 하마
SP전설방패, 173, 21920661, 12649, 550, 703314, 74138609, 37443, 22518, 971019, 26160, 서촉, 그룹 없음
