회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 주, 그룹
칼끝, 1, 28, 41944893, 651645, 4512, 0, 155934503, 1078645, 30925, 394168, 31470, 양양, 그룹 없음
꾸러기온리, 3, 46, 39137194, 738159, 4873, 278647, 150731577, 1059058, 26164, 556878, 29130, 양양, 인연別
킹아아ㆍ, 2, 34, 43313323, 713553, 8516, 32890, 144152983, 1035773, 36095, 134000, 29560, 양양, 그룹 없음
緣부끄런꼬기, 4, 49, 52255159, 724509, 4231, 85843, 160823777, 984240, 32228, 197550, 28440, 양양, 인연別
으랏차차농부, 5, 65, 34558121, 603992, 8542, 0, 126847137, 877857, 36143, 446198, 29210, 양양, 그룹 없음
킹핀느ㆍ, 6, 71, 38775655, 552555, 7056, 0, 132562337, 862061, 41452, 124175, 30270, 양양, 그룹 없음
ZENITH, 7, 123, 39902579, 485962, 3967, 0, 127294049, 726982, 19890, 120104, 32430, 양양, 인연別
別들의친족, 10, 142, 32712162, 451402, 8215, 0, 107010433, 700730, 31105, 136050, 25853, 양양, 인연別
켄나, 9, 139, 28891666, 460304, 2224, 0, 82273182, 688668, 15082, 94196, 18320, 양양, 인연別
新화요, 8, 138, 36599016, 418159, 1050, 0, 131002833, 683342, 30366, 112374, 30020, 양양, 신의악단
태리농부, 12, 157, 36913536, 491415, 987, 0, 115681962, 676340, 21915, 198609, 29510, 양양, 그룹 없음
緣탑간z, 11, 154, 31846398, 431809, 4823, 0, 116686032, 665859, 35675, 222276, 30540, 양양, 인연別
緣킁, 13, 176, 34228989, 469077, 6646, 0, 108130045, 646027, 28786, 248161, 31560, 양양, 인연別
別자몽, 14, 169, 31278883, 416803, 4674, 295379, 112749374, 637202, 35940, 358759, 24230, 양양, 인연別
緣주, 17, 213, 47637095, 391532, 700, 0, 144437254, 620921, 4079, 0, 34740, 양양, 인연別
SP하노이, 15, 193, 37997858, 395925, 8343, 0, 111947206, 607766, 33778, 447198, 28270, 양양, 그룹 없음
