회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 주, 그룹
칼끝, 1, 17, 15471770, 307271, 1709, 0, 129461380, 734271, 28122, 394168, 30190, 양양, 그룹 없음
꾸러기온리, 4, 63, 13902594, 255550, 2033, 96982, 125496977, 576449, 23324, 375213, 28520, 양양, 인연別
킹아아ㆍ, 2, 55, 13592704, 232772, 1512, 0, 114432364, 554992, 29091, 101110, 27980, 양양, 그룹 없음
킹핀느ㆍ, 3, 58, 13379345, 235714, 0, 0, 107166027, 545220, 34396, 124175, 28870, 양양, 그룹 없음
緣부끄런꼬기, 6, 73, 18913632, 268801, 1207, 85843, 127482250, 528532, 29204, 197550, 27320, 양양, 인연別
으랏차차농부, 5, 72, 14119558, 244359, 2347, 0, 106408574, 518224, 29948, 446198, 26110, 양양, 그룹 없음
ZENITH, 7, 112, 24857399, 226115, 1202, 0, 112248869, 467135, 17125, 120104, 28330, 양양, 인연別
新화요, 8, 117, 24537589, 171489, 350, 0, 118941406, 436672, 29666, 112374, 30020, 양양, 신의악단
別들의친족, 12, 185, 17708822, 147947, 1736, 0, 92007093, 397275, 24626, 136050, 25773, 양양, 인연別
別자몽, 9, 167, 18933825, 164486, 1902, 295379, 100404316, 384885, 33168, 358759, 23530, 양양, 인연別
緣탑간z, 10, 179, 17695699, 146656, 504, 0, 102535333, 380706, 31356, 222276, 29960, 양양, 인연別
켄나, 11, 183, 10312998, 150348, 663, 0, 63694514, 378712, 13521, 94196, 16670, 양양, 인연別
锋두르, 17, 221, 8200102, 153507, 0, 0, 75018695, 368811, 16562, 264129, 28070, 양양, 그룹 없음
SP하노이, 14, 211, 19013075, 147844, 1308, 0, 92962423, 359685, 26743, 447198, 28270, 양양, 그룹 없음
緣주, 22, 266, 14096022, 127341, 0, 0, 110896181, 356730, 3379, 0, 31450, 양양, 인연別
태리농부, 16, 213, 19292327, 171353, 886, 0, 98060753, 356278, 21814, 198609, 25510, 양양, 그룹 없음
緣킁, 13, 199, 12455562, 177335, 1538, 0, 86356618, 354285, 23678, 248161, 30440, 양양, 인연別
新가르나초선, 15, 209, 10549941, 156159, 1620, 0, 93479040, 325615, 23975, 168164, 26650, 양양, 신의악단
別조커, 18, 242, 10069453, 127064, 1613, 225766, 87810746, 325018, 34306, 558991, 26970, 양양, 인연別
SP깐도리, 29, 313, 20312900, 175103, 0, 393003, 70473753, 320292, 7267, 517385, 18620, 양양, 그룹 없음
여호수야, 27, 306, 28225797, 141066, 237, 0, 99267291, 318424, 15095, 286636, 27213, 양양, 그룹 없음
칼가자미, 26, 293, 14871137, 185938, 1483, 418394, 77028483, 314920, 22817, 946305, 23790, 양양, 그룹 없음
锋이야, 20, 258, 7633561, 152461, 522, 0, 67509738, 314038, 28974, 105009, 24040, 양양, 그룹 없음
新서울의밤, 19, 248, 12524937, 134500, 3017, 176585, 94994000, 310127, 41663, 642702, 27980, 양양, 신의악단
無限대구장, 25, 287, 18793626, 150335, 3336, 0, 98164640, 309917, 38583, 283843, 27270, 양양, 그룹 없음
無限뮤라, 21, 265, 20701039, 145288, 756, 0, 88546928, 309833, 23677, 256505, 27800, 양양, 그룹 없음
無限조운, 32, 321, 19621875, 122578, 451, 0, 100856647, 294923, 18449, 13866, 27260, 양양, 그룹 없음
緣미니, 28, 339, 15167454, 115942, 1494, 372860, 93892049, 288467, 21908, 433068, 26110, 양양, 인연別
锋침, 23, 269, 5742803, 120931, 885, 815867, 74664203, 284272, 28419, 1139215, 22393, 양양, 그룹 없음
장우주, 35, 338, 15285180, 140124, 1862, 0, 72846825, 281373, 27847, 301066, 23560, 양양, 인연別
锋도사, 38, 354, 10649137, 135088, 1064, 0, 73697679, 280131, 17360, 177104, 27760, 양양, 그룹 없음
우마왕, 30, 316, 7003806, 143331, 2756, 0, 94449209, 277244, 31114, 414524, 25990, 양양, 그룹 없음
緣우룡, 34, 335, 15186395, 114015, 0, 0, 72403106, 275756, 29246, 320527, 24480, 양양, 인연別
SP용랑, 31, 319, 12133091, 126949, 1106, 0, 66420364, 272618, 27063, 190150, 22170, 양양, 그룹 없음
緣心엘리시움, 42, 371, 14303617, 98230, 1458, 0, 82544274, 272521, 18564, 203581, 26830, 양양, 인연別
緣pop, 33, 327, 20851454, 131904, 1470, 515708, 89172521, 270760, 24513, 528636, 26450, 양양, 인연別
영오농부, 24, 279, 10617032, 119911, 3587, 0, 87107076, 270368, 42925, 220370, 27793, 양양, 그룹 없음
無限동백, 36, 345, 12063339, 91191, 882, 0, 79251498, 265067, 26130, 656381, 26070, 양양, 그룹 없음
緣동자, 50, 411, 10269368, 126989, 0, 0, 79440571, 259893, 10594, 0, 26200, 양양, 인연別
锋투, 39, 357, 7344090, 111309, 1304, 0, 81885235, 258602, 23284, 292389, 30060, 양양, 그룹 없음
緣열하, 40, 369, 9709441, 99285, 1232, 0, 72892546, 256971, 28173, 209469, 23100, 양양, 인연別
锋급, 45, 383, 11333746, 117260, 941, 0, 76767037, 255533, 23118, 245440, 27250, 양양, 그룹 없음
친절한돼지, 43, 377, 7814704, 109782, 847, 388051, 66719954, 253623, 29550, 575407, 22580, 양양, 인연別
锋댕이, 44, 378, 13425482, 81930, 2142, 0, 87770039, 250740, 23376, 219288, 25190, 양양, 그룹 없음
