회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 주, 그룹
SP연어, 163, 920, 34476352, 69, 15277, 0, 34476352, 69, 15277, 0, 18000, 강하, 그룹 없음
新앱솔루트, 131, 749, 27315228, 0, 21213, 0, 32769435, 0, 21563, 48578, 19690, 강하, 신의악단
無限대구장, 15, 192, 43640136, 177, 31186, 0, 48745977, 177, 31536, 20467, 23290, 강하, 그룹 없음
別들의친족, 80, 532, 37012452, 0, 20379, 0, 42723176, 0, 20729, 0, 25030, 강하, 인연別
혀누임, 7, 68, 32133451, 2787, 27146, 0, 37497992, 2787, 27496, 21000, 25880, 강하, 그룹 없음
으랏차차농부, 36, 306, 44641771, 25, 24731, 222375, 50137470, 25, 25081, 242613, 23370, 강하, 그룹 없음
锋두르, 153, 879, 42431196, 0, 13666, 59631, 47903102, 0, 13666, 70493, 23210, 강하, 그룹 없음
緣진하, 55, 420, 41271276, 0, 12991, 0, 45290516, 0, 12991, 20880, 23360, 강하, 인연別
영오농부, 5, 57, 40510305, 13, 36293, 0, 47730948, 13, 36293, 20026, 23900, 강하, 그룹 없음
緣차슨생, 11, 121, 39610408, 0, 30236, 46314, 46665569, 0, 30236, 58707, 24700, 강하, 인연別
SP포고라니, 87, 562, 38395467, 0, 20931, 0, 43726056, 0, 21281, 0, 20640, 강하, 그룹 없음
SPㆍ킹, 151, 864, 32369929, 0, 16550, 0, 35915444, 0, 16550, 0, 18950, 강하, 그룹 없음
锋이야, 28, 271, 31626985, 0, 26184, 19987, 36372370, 0, 26184, 19987, 22750, 강하, 그룹 없음
無限성난냥이, 27, 270, 30881370, 0, 32067, 86112, 36268206, 0, 32417, 101980, 20790, 강하, 그룹 없음
锋빠, 169, 958, 28119483, 0, 10723, 0, 30108903, 0, 10723, 0, 20120, 강하, 그룹 없음
SP수달, 144, 819, 25180770, 948, 16343, 84320, 27335396, 948, 16693, 122058, 16290, 강하, 그룹 없음
無限회장, 178, 1045, 13091395, 0, 7710, 0, 15832435, 0, 8060, 0, 14790, 강하, 그룹 없음
꾸러기온리, 111, 680, 69099623, 0, 19553, 44186, 75099881, 0, 19903, 59838, 25450, 강하, 인연別
緣부끄런꼬기, 66, 477, 67671739, 2620, 24895, 8483, 75887221, 2620, 24895, 10564, 24660, 강하, 인연別
칼끝, 39, 317, 59359056, 0, 25302, 260181, 66637450, 0, 25302, 260181, 27400, 강하, 그룹 없음
킹아아ㆍ, 14, 147, 57736932, 0, 24119, 22170, 63785973, 0, 24119, 22170, 25880, 강하, 그룹 없음
緣주, 192, 1159, 56910644, 36, 1318, 0, 65425137, 36, 1318, 0, 25730, 강하, 인연別
킹핀느ㆍ, 24, 229, 56075255, 344, 29731, 0, 63812203, 344, 29731, 0, 26390, 강하, 그룹 없음
SP하노이, 48, 363, 55965749, 0, 22178, 40242, 61062445, 0, 22528, 66431, 24730, 강하, 그룹 없음
別조커, 33, 296, 54063296, 0, 30398, 0, 62720165, 0, 30398, 0, 24590, 강하, 인연別
태리농부, 61, 459, 53880337, 0, 18521, 42847, 58972711, 0, 18871, 63646, 23080, 강하, 그룹 없음
ZENITH, 60, 453, 53126779, 0, 14457, 0, 59652084, 0, 14457, 20329, 26500, 강하, 인연別
新화요, 16, 194, 51248639, 0, 26581, 0, 57698124, 0, 26931, 16000, 25070, 강하, 신의악단
