회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 진영, 그룹
SP연어, 21, 154, 4604187, 25163, 0, 0, 155037036, 1168700, 61387, 438401, 31883, 사예, 전룡제후
無限대구장, 28, 191, 2506746, 5999, 0, 0, 157360172, 1142205, 44978, 571582, 30790, 사예, 무한
SPㆍ킹, 31, 213, 2453829, 15622, 0, 0, 135555958, 1072497, 19712, 253051, 30780, 사예, 전룡제후
無限회장, 164, 903, 427194, 8546, 0, 0, 92631463, 241365, 45556, 538913, 28440, 사예, 무한
혀누임, 65, 404, 1650633, 12872, 0, 0, 118877848, 637902, 55848, 443221, 32480, 사예, 전룡제후
巛국태, 134, 748, 6279132, 19844, 0, 0, 94171230, 402128, 11659, 200396, 27900, 사예, 질주
SP포고라니, 46, 291, 2499882, 22778, 50, 0, 106526062, 854379, 39711, 814852, 29480, 사예, 전룡제후
SP수달, 162, 887, 2176962, 4950, 0, 0, 59050096, 283946, 39617, 269847, 18110, 사예, 전룡제후
巛커피오랑, 81, 471, 2080638, 15822, 50, 0, 115828096, 605521, 57200, 608419, 26183, 사예, 질주
RZ작은하마, 49, 322, 1726254, 13819, 1400, 0, 143823868, 848699, 22190, 0, 23370, 서촉, 하마
영오농부, 33, 229, 1297152, 14455, 0, 0, 165730133, 959526, 78604, 247416, 31070, 사예, 영농조합
으랏차차농부, 1, 25, 110634, 2213, 0, 0, 208850208, 2047545, 48440, 534578, 31480, 사예, 영농조합
酒고주, 66, 407, 0, 0, 0, 0, 103808074, 674166, 42424, 953627, 30260, 사예, 주점
巛소고기, 74, 439, 11044624, 21715, 0, 129549, 143605526, 616231, 45818, 1282844, 31370, 사예, 질주
巛수릉, 63, 391, 7308858, 0, 0, 0, 125770647, 695953, 62232, 843186, 29180, 사예, 질주
無限뮤라, 6, 69, 7053436, 7410, 0, 106382, 184176754, 1539760, 46933, 481847, 38140, 사예, 무한
SP세경, 112, 629, 6806487, 0, 0, 0, 134977255, 486253, 49569, 1340438, 34110, 사예, 그룹 없음
巛청담베이비, 73, 437, 6714876, 606, 0, 0, 140863320, 578514, 97485, 572452, 32653, 사예, 질주
巛지민, 144, 796, 6691914, 13199, 0, 0, 117119165, 339986, 38750, 1075380, 33683, 사예, 질주
巛태제, 91, 513, 6022530, 23850, 0, 0, 143003765, 633479, 10565, 757184, 39120, 사예, 질주
우마왕, 18, 119, 5363154, 41161, 2350, 0, 165132829, 1254478, 81214, 446805, 24798, 서촉, 하마
無限대박, 89, 493, 5117755, 0, 0, 520658, 186817624, 631648, 19716, 3756090, 39420, 서촉, 무한
众헤리티지, 52, 329, 5048511, 32787, 0, 0, 128499097, 784665, 46614, 476178, 28068, 사예, 주점
巛나간다, 55, 347, 4954599, 0, 0, 0, 162298548, 772110, 39519, 363205, 38690, 사예, 질주
巛두루이드, 110, 619, 4816005, 2027, 50, 0, 107612998, 473126, 50755, 510113, 31883, 사예, 질주
지와빠, 75, 442, 4600350, 24705, 446, 0, 125666824, 636274, 53185, 365951, 29516, 서촉, 하마
巛연개소문, 38, 245, 4474170, 0, 0, 0, 133857729, 961326, 47197, 107949, 33710, 사예, 질주
때찌얌, 118, 664, 4431921, 1828, 0, 0, 115067039, 412407, 57081, 1288621, 31750, 사예, 영농조합
巛궁귀, 132, 746, 4251189, 4291, 0, 0, 107915672, 351499, 49687, 1427693, 28730, 사예, 질주
無限유선, 147, 805, 4185039, 0, 0, 0, 96788464, 313932, 40712, 1052267, 30270, 사예, 무한
SP전설방패, 182, 1038, 3975045, 0, 0, 0, 150075159, 161616, 30557, 1888351, 31620, 사예, 전룡제후
