회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 주, 그룹
칼끝, 1, 19, 31536099, 512735, 3042, 0, 145525709, 939735, 29455, 394168, 30800, 양양, 그룹 없음
꾸러기온리, 2, 40, 30467040, 570735, 4805, 96982, 142061423, 891634, 26096, 375213, 28520, 양양, 인연別
緣부끄런꼬기, 4, 44, 37717368, 555517, 3727, 85843, 146285986, 815248, 31724, 197550, 28120, 양양, 인연別
킹아아ㆍ, 3, 41, 27854641, 491329, 7508, 32890, 128694301, 813549, 35087, 134000, 28240, 양양, 그룹 없음
킹핀느ㆍ, 5, 55, 32076374, 425909, 6048, 0, 125863056, 735415, 40444, 124175, 28990, 양양, 그룹 없음
으랏차차농부, 6, 66, 24475487, 438805, 7331, 0, 116764503, 712670, 34932, 446198, 28730, 양양, 그룹 없음
ZENITH, 7, 100, 34066578, 402955, 3967, 0, 121458048, 643975, 19890, 120104, 29190, 양양, 인연別
別들의친족, 11, 139, 26883989, 335126, 6668, 0, 101182260, 584454, 29558, 136050, 25833, 양양, 인연別
켄나, 8, 128, 20694274, 348246, 1578, 0, 74075790, 576610, 14436, 94196, 17770, 양양, 인연別
태리농부, 13, 146, 30539340, 377918, 886, 0, 109307766, 562843, 21814, 198609, 29030, 양양, 그룹 없음
緣킁, 9, 135, 22559349, 379459, 5661, 0, 96460405, 556409, 27801, 248161, 31100, 양양, 인연別
別자몽, 10, 136, 27231035, 334819, 4674, 295379, 108701526, 555218, 35940, 358759, 23730, 양양, 인연別
新화요, 12, 141, 30265997, 288823, 700, 0, 124669814, 554006, 30016, 112374, 30000, 양양, 신의악단
緣탑간z, 14, 149, 25939494, 311225, 3311, 0, 110779128, 545275, 34163, 222276, 30260, 양양, 인연別
新서울의밤, 15, 182, 21962352, 317120, 6641, 176585, 104431415, 492747, 45287, 642702, 28470, 양양, 신의악단
SP하노이, 16, 192, 27647262, 278231, 7083, 0, 101596610, 490072, 32518, 447198, 28270, 양양, 그룹 없음
여호수야, 18, 225, 40706332, 311256, 3205, 0, 111747826, 488614, 18063, 286636, 27650, 양양, 그룹 없음
緣주, 23, 266, 26740859, 232941, 700, 0, 123541018, 462330, 4079, 0, 32170, 양양, 인연別
無限대구장, 20, 246, 29011435, 300893, 9096, 0, 108382449, 460475, 44343, 283843, 27470, 양양, 그룹 없음
SP깐도리, 27, 283, 33925189, 300858, 0, 393003, 84086042, 446047, 7267, 517385, 19060, 양양, 그룹 없음
新가르나초선, 17, 216, 18286190, 269390, 5302, 0, 101215289, 438846, 27657, 168164, 26850, 양양, 신의악단
無限뮤라, 19, 241, 29632142, 267473, 3578, 0, 97478031, 432018, 26499, 256505, 28980, 양양, 그룹 없음
緣미니, 24, 268, 26241450, 244684, 5627, 461816, 104966045, 417209, 26041, 522024, 27510, 양양, 인연別
锋이야, 22, 256, 14292594, 254840, 8156, 0, 74168771, 416417, 36608, 105009, 27420, 양양, 칼팸
장우주, 28, 284, 28314413, 272042, 7658, 0, 85876058, 413291, 33643, 301066, 23560, 양양, 인연別
緣心엘리시움, 35, 310, 32794637, 237162, 2879, 0, 101035294, 411453, 19985, 203581, 26790, 양양, 인연別
친절한돼지, 26, 285, 16937258, 263905, 5983, 388051, 75842508, 407746, 34686, 575407, 23203, 양양, 인연別
別조커, 25, 281, 13753949, 203830, 5393, 225766, 91495242, 401784, 38086, 558991, 26970, 양양, 인연別
無限동백, 29, 290, 19224597, 224932, 5705, 0, 86412756, 398808, 30953, 656381, 26990, 양양, 그룹 없음
緣pop, 30, 292, 34506159, 256815, 4242, 515708, 102827226, 395671, 27285, 528636, 27550, 양양, 인연別
緣열하, 33, 304, 22577992, 237713, 3698, 0, 85761097, 395399, 30639, 209469, 23100, 양양, 인연別
SP용랑, 31, 295, 22551429, 249166, 5558, 0, 76838702, 394835, 31515, 190150, 22570, 양양, 그룹 없음
칼가자미, 39, 322, 25596616, 264101, 5515, 418394, 87753962, 393083, 26849, 946305, 24110, 양양, 그룹 없음
锋급, 36, 316, 23206773, 253823, 3996, 0, 88640064, 392096, 26173, 245440, 28350, 양양, 칼팸
锋도사, 42, 337, 19851345, 240903, 2689, 0, 82899887, 385946, 18985, 177104, 27760, 양양, 칼팸
우마왕, 32, 303, 12058410, 247343, 13064, 0, 99503813, 381256, 41422, 414524, 26090, 양양, 그룹 없음
锋투, 38, 321, 18182824, 231772, 4607, 0, 92723969, 379065, 26587, 292389, 31040, 양양, 칼팸
無限조운, 37, 318, 23408974, 204514, 749, 0, 104643746, 376859, 18747, 13866, 27740, 양양, 그룹 없음
영오농부, 21, 253, 18657878, 222526, 14749, 0, 95147922, 372983, 54087, 220370, 28190, 양양, 그룹 없음
锋두르, 47, 365, 11918038, 153507, 350, 0, 78736631, 368811, 16912, 264129, 27939, 양양, 칼팸
緣우룡, 44, 346, 21136751, 197479, 3024, 0, 78353462, 359220, 32270, 320527, 24780, 양양, 인연別
锋침, 34, 309, 8965372, 191395, 5562, 815867, 77886772, 354736, 33096, 1139215, 22693, 양양, 칼팸
緣크으응킁, 53, 394, 22481328, 225435, 2993, 116992, 79403400, 354727, 24332, 265890, 27360, 양양, 인연別
김크니, 41, 332, 24830337, 205858, 5040, 0, 92480942, 354237, 29907, 653591, 21920, 양양, 신의악단
锋댕이, 45, 357, 19202449, 184160, 5334, 0, 93547006, 352970, 26568, 219288, 25270, 양양, 칼팸
진실장, 48, 373, 33440693, 229538, 580, 0, 107758668, 348635, 21776, 75166, 30856, 양양, 신의악단
SP부엉이, 49, 378, 21506592, 225601, 3949, 0, 82748655, 341071, 25989, 53301, 25740, 양양, 그룹 없음
댈티스, 52, 392, 13765436, 196945, 2621, 494756, 87509838, 339170, 16972, 638750, 23780, 양양, 그룹 없음
마스터농부, 46, 362, 17072978, 193909, 588, 194963, 83181200, 338391, 28028, 467940, 22550, 양양, 그룹 없음
锋빠, 56, 421, 18317937, 207434, 800, 0, 66405828, 336811, 13681, 0, 22900, 강동, 칼팸
緣차슨생, 40, 327, 21461653, 227053, 6319, 0, 92364158, 336557, 39001, 263759, 27370, 양양, 인연別
新마오타이, 43, 338, 14336893, 171178, 9629, 0, 69921515, 330238, 43028, 336947, 26410, 양양, 신의악단
新시현, 51, 380, 50749589, 193291, 6523, 0, 122862445, 327852, 42028, 199640, 28520, 양양, 신의악단
SPㆍ킹, 58, 436, 17115372, 190206, 552, 987737, 70374308, 324658, 18807, 987737, 22323, 양양, 그룹 없음
緣동자, 62, 457, 22088137, 176189, 350, 0, 91259340, 309093, 10944, 0, 28400, 강동, 인연別
新홍주, 60, 446, 9001810, 153693, 4880, 0, 83425831, 305284, 25955, 133920, 23700, 양양, 신의악단
SP돼지감자, 54, 399, 34579124, 181183, 2364, 175062, 98368733, 296309, 30580, 603450, 23690, 양양, 그룹 없음
혀누임, 50, 381, 11611686, 164542, 7562, 154334, 69096354, 295653, 38729, 516469, 28260, 양양, 그룹 없음
別삼봉, 69, 477, 10653137, 145924, 3024, 363074, 91732954, 287744, 26274, 567512, 23930, 양양, 인연別
緣히데자판기, 71, 482, 14151615, 155762, 199, 284143, 76415807, 284614, 20048, 553774, 22500, 양양, 인연別
活새로, 57, 427, 18863726, 166986, 5752, 0, 82010219, 282880, 43732, 272356, 23100, 양양, 신의악단
新블랑, 64, 463, 20989701, 197977, 5471, 0, 73825586, 276817, 31179, 342550, 23950, 양양, 신의악단
無限알파, 68, 476, 13347477, 157543, 3344, 0, 80300617, 273312, 24827, 251309, 22690, 양양, 그룹 없음
緣유혹의한영, 55, 401, 19106434, 185592, 4486, 286739, 75451396, 272590, 44458, 569365, 22600, 양양, 인연別
緣춘자, 67, 473, 14759247, 177333, 5328, 0, 79068315, 269946, 27312, 151177, 27490, 양양, 인연別
無限성난냥이, 63, 462, 12092309, 181971, 7838, 279538, 64393213, 269808, 42112, 859305, 23210, 양양, 그룹 없음
킹넬ㆍ, 78, 520, 23200583, 147049, 1865, 0, 59637885, 269606, 13176, 256662, 18753, 양양, 그룹 없음
친절한백리단, 61, 458, 17610110, 158720, 4622, 0, 88134474, 269512, 34014, 283405, 28933, 양양, 인연別
锋솨, 79, 523, 17529582, 178847, 2756, 101514, 81010417, 269288, 20719, 478937, 28090, 양양, 칼팸
緣황후펭귄, 66, 468, 16045422, 158682, 5708, 193119, 69719821, 267244, 26664, 545379, 23370, 양양, 인연別
別모략가, 72, 488, 23748288, 180923, 7097, 116791, 101569020, 266735, 33655, 561111, 28830, 양양, 인연別
지누농부, 59, 444, 15341566, 163153, 6300, 0, 73556322, 265482, 32039, 267447, 23800, 양양, 그룹 없음
